smiles,wxid,subset,reagent_id
Nc1nc(Cl)ccc1[N+](=O)[O-],AF0218,AF,AF0218_AF
Nc1nc(C(F)(F)F)cs1,AF0219,AF,AF0219_AF
N#Cc1nc(Cl)ccc1N,AF0220,AF,AF0220_AF
Nc1nc(Cl)cnc1Br,AF0226,AF,AF0226_AF
COC(=O)c1nc(Br)cnc1N,AF0227,AF,AF0227_AF
Nc1ncccc1Oc1ccccc1,AF0228,AF,AF0228_AF
Nc1nc2ccc(Br)cc2s1,AF0229,AF,AF0229_AF
Nc1ccc2ccc(Cl)cc2n1,AF0230,AF,AF0230_AF
Nc1cc(O)n[nH]1,AF0232,AF,AF0232_AF
COc1ccc2nc(N)[nH]c2c1,AF0233,AF,AF0233_AF
Nc1ccncc1O,AF0234,AF,AF0234_AF
Nc1ncco1,AF0235,AF,AF0235_AF
Nc1cnc(Cl)nc1,AF0236,AF,AF0236_AF
Cc1cc(N)[nH]n1,AF0238,AF,AF0238_AF
Nc1[nH]ncc1I,AF0239,AF,AF0239_AF
Nc1cc(C2CC2)n[nH]1,AF0240,AF,AF0240_AF
Nc1ncc(-c2ccccc2)s1,AF0241,AF,AF0241_AF
Cc1nc(N)ccc1[N+](=O)[O-],AF0244,AF,AF0244_AF
CCOC(=O)c1nc(Br)ccc1N,AF0245,AF,AF0245_AF
Nc1ncc([N+](=O)[O-])cc1I,AF0248,AF,AF0248_AF
Cc1coc(N)n1,AF0249,AF,AF0249_AF
CCOC(=O)c1scnc1N,AF0250,AF,AF0250_AF
Nc1[nH]nc2cccnc12,AF0251,AF,AF0251_AF
Nc1nnc(-c2ccco2)o1,AF0252,AF,AF0252_AF
Nc1nc2cc(Br)ccc2o1,AF0254,AF,AF0254_AF
Nc1noc2cc(Br)ccc12,AF0256,AF,AF0256_AF
Cc1n[nH]c(N)c1Br,AF0257,AF,AF0257_AF
Nc1ncc(Br)nc1Br,AF0258,AF,AF0258_AF
Cc1nc(N)nc(Cl)c1Br,AF0259,AF,AF0259_AF
N#Cc1cccnc1N,AF0260,AF,AF0260_AF
Cc1nc(N)cc(Cl)n1,AF0262,AF,AF0262_AF
COc1nc(N)cc2cccnc12,AF0265,AF,AF0265_AF
Nc1cc(Cl)ncc1I,AF0266,AF,AF0266_AF
Cc1ccc2nc(N)sc2c1,AF0267,AF,AF0267_AF
Cn1nc2c(c1N)CCC2,AF0268,AF,AF0268_AF
Nc1cnc(F)c(Br)c1,AF0269,AF,AF0269_AF
CCOC(=O)c1cc(C)sc1N,AF0270,AF,AF0270_AF
Nc1ncc(Br)c(Cl)c1[N+](=O)[O-],AF0271,AF,AF0271_AF
CN1CCN(c2ccc(N)cn2)CC1,AF0272,AF,AF0272_AF
COc1ccnc(N)c1,AF0275,AF,AF0275_AF
Nc1cc(C2CCCCC2)no1,AF0277,AF,AF0277_AF
Nc1ncc(C(F)(F)F)cn1,AF0278,AF,AF0278_AF
Nc1nccc(Cl)c1I,AF0279,AF,AF0279_AF
Cc1[nH]nc2ncnc(N)c12,AF0280,AF,AF0280_AF
Cc1ccc2nc(N)[nH]c2c1,AF0282,AF,AF0282_AF
Nc1cc(Br)nc(Br)c1,AF0283,AF,AF0283_AF
COc1nc(Br)ccc1N,AF0284,AF,AF0284_AF
COc1ccc(N)nc1OC,AF0285,AF,AF0285_AF
CCOC(=O)c1cnc(N)[nH]1,AF0287,AF,AF0287_AF
CCOC(=O)c1c(C)csc1N,AF0289,AF,AF0289_AF
Nc1nc2cccc(Br)c2s1,AF0290,AF,AF0290_AF
CCOC(=O)c1sc(SC)c(C#N)c1N,AF0291,AF,AF0291_AF
COC(=O)c1cccc(N)n1,AF0292,AF,AF0292_AF
Nc1cnccc1Cl,AF0294,AF,AF0294_AF
Cc1nccnc1N,AF0295,AF,AF0295_AF
Cc1cnc(N)cc1I,AF0296,AF,AF0296_AF
Nc1ncc[nH]1,AF0297,AF,AF0297_AF
Nc1ncccc1I,AF0298,AF,AF0298_AF
Nc1cccc(F)n1,AF0307,AF,AF0307_AF
